Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993
Avg,24.5186301369863,7.847397260273973,3.854371584699453,1.1495890410958904,7.33041095890411,18.92958904109589,3.1163934426229507,11.929315068493148,3.1720547945205477,22.861095890410958,5.278306010928962,30.192136986301367,15.194027397260273,6.187315068493151,1.4245628415300549,19.859698630136982,15.032712328767122,9.921479452054795,0.9357377049180327,0.6062191780821917,22.882493150684933,6.830931506849315,16.11139344262295,3.6193150684931505,25.86490410958904,43.32616438356164,8.835819672131148,3.3806575342465757,28.969726027397257,2.423369863013699,1.7253005464480875,2.13786301369863,1.8930410958904111,3.859698630136986,5.556803278688524,nan
Std,66.2450220061042,37.6259241010586,19.22707477455983,1.8230280683418163,28.986456565345726,82.74534064502515,8.552394232145376,34.310662759307405,5.229828819038881,84.28552236885528,25.503651273453805,97.55107188043773,50.97617310130335,14.052514031281449,2.7124340691313176,60.15605534527423,33.831728935723326,28.222742194714243,1.0810743376618541,1.177876173767044,83.79014565643544,16.736528148775683,49.55303558299947,11.25349415798247,107.03473210875778,98.57589450857019,27.290059445642783,7.582139583490871,107.78353537279794,11.101954185016936,3.7266404378994866,5.909931769105404,1.7817119091138867,20.531164875429084,24.61717875903323,nan
CV,2.701823945138506,4.794701077710571,4.988381206130928,1.5858084960552024,3.95427442306443,4.37121695908908,2.7443242933238716,2.876163682685041,1.648719570693722,3.686853979918289,4.831787171991807,3.231009183771859,3.355013899112435,2.271181259677435,1.904046624028198,3.0290517729200457,2.2505405675183283,2.8446102550632357,1.1553177049294518,1.9429873160616944,3.661757707285816,2.450109202821623,3.075651759077903,3.109288344622536,4.138222653184946,2.275204738547565,3.0885713446277907,2.2428002560693128,3.7205576356112195,4.581205021346005,2.159994932808431,2.7644108772343046,0.9411902958587597,5.319369941248601,4.430097220365014,nan
SP_Tim,187.0,144.0,136.0,222.0,160.0,200.0,116.0,195.0,146.0,207.0,171.0,154.0,158.0,199.0,198.0,154.0,186.0,176.0,257.0,224.0,159.0,182.0,145.0,175.0,196.0,217.0,89.0,180.0,169.0,167.0,223.0,179.0,243.0,179.0,140.0,nan
SP_Mag,778.0,101.0,110.0,2.1,192.0,102.0,110.0,62.0,11.0,62.0,35.0,468.0,140.0,15.0,4.5,249.0,192.0,96.0,1.3,0.98,262.0,100.0,620.0,130.0,495.0,376.0,457.0,30.0,432.0,23.0,2.8,34.0,13.0,126.0,281.0,nan
SP_Dur,40.0,47.0,126.0,70.0,25.0,34.0,172.0,60.0,110.0,42.0,47.0,104.0,30.0,79.0,86.0,53.0,60.0,98.0,86.0,78.0,98.0,75.0,123.0,85.0,30.0,27.0,201.0,155.0,19.0,29.0,42.0,127.0,47.0,34.0,14.0,nan
SP_ROC,0.08452380952380953,0.060024009603841605,0.07407407407407408,0.16666666666666663,0.1111111111111111,0.07142857142857142,0.09918032786885242,0.03935185185185189,0.04878048780487799,0.06666666666666667,0.06742424242424253,0.06666666666666667,0.06896551724137931,0.051315789473684204,0.06250000000000006,0.06666666666666667,0.051724137931034454,0.0571428571428572,0.17857142857142866,0.11769230769230768,0.058823529411764705,0.05333333333333338,0.03773584905660381,0.052631578947368356,0.08012820512820512,0.06666666666666667,0.04225352112676054,0.0555555555555556,0.09375,0.06904761904761902,0.05797101449275352,0.07467144563918764,0.07692307692307698,0.07026194144838219,0.11666666666666664,nan
DS_Tim,227.0,191.0,262.0,292.0,185.0,234.0,288.0,255.0,256.0,249.0,218.0,258.0,188.0,278.0,284.0,207.0,246.0,274.0,343.0,302.0,257.0,257.0,268.0,260.0,226.0,244.0,290.0,335.0,188.0,196.0,265.0,306.0,290.0,213.0,154.0,nan
DS_Mag_90,5.8,2.8,0.5,1.1,2.4,6.2,1.5099999999999993,2.0,0.6499999999999999,4.58,2.4,2.7,5.2,0.71,1.2,4.4,3.3400000000000034,nan,0.7540000000000004,2.190000000000001,2.9,1.5,2.1,4.190000000000001,7.3199999999999985,7.94,1.1400000000000006,4.860000000000005,6.460000000000013,1.1,0.6320000000000005,0.48,0.97,1.4,nan,nan
DS_Mag_50,1.4,0.9,0.3,0.3,0.8,1.8,0.4,0.9,0.3,2.0,0.92,1.4,1.3,0.41,0.16,1.1,1.6,nan,0.27,0.195,1.1,0.935,0.99,0.4,3.0,2.8,0.93,0.79,1.3,0.455,0.28,0.34,0.59,0.58,nan,nan
DS_Dur_WS,227.0,266.0,141.0,195.0,187.0,159.0,150.0,148.0,156.0,212.0,246.0,183.0,226.0,122.0,119.0,190.0,239.0,nan,45.0,152.0,199.0,186.0,155.0,182.0,245.0,157.0,97.0,149.0,287.0,218.0,172.0,69.0,219.0,270.0,nan,nan
DS_No_Flow,0.0,0.0,0.0,17.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,nan,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,12.0,nan,nan,nan,50.0,nan,10.0,28.0,nan,nan,60.0,33.0,15.0,34.0,nan,9.0,6.0,27.0,9.0,0.0,35.0,50.0,18.0,nan,27.0,4.0,nan,15.0,20.0,nan,27.0,40.0,nan,75.0,25.0,nan
FA_Mag,3.0016633120017793,nan,nan,nan,1.9779298019610863,nan,13.947153570906114,6.754530182324201,nan,nan,6.0830073372830284,2.397303889648811,4.61320830182368,5.469258312479829,nan,2.3683772327816146,4.597188827099363,5.980303112669825,11.884106475721977,1.088966342019345,2.201647207113272,7.686840950960474,1.934626063962203,nan,5.6781969978361655,5.648586637837339,nan,3.0453097367458493,2.3826690135626425,nan,1.2102160169720775,1.488571650156303,nan,1.8773448500762122,3.5880830913463453,nan
Wet_Tim,111.0,88.0,91.0,37.0,121.0,6.0,27.0,72.0,37.0,46.0,95.0,98.0,75.0,48.0,34.0,37.0,31.0,119.0,nan,22.0,88.0,90.0,77.0,57.0,76.0,105.0,35.0,21.0,118.0,109.0,48.0,71.0,9.0,143.0,117.0,nan
FA_Dur,6.0,nan,nan,nan,6.0,nan,3.0,3.0,nan,nan,5.0,2.0,5.0,6.0,nan,3.0,0.0,10.0,4.0,4.0,1.0,4.0,2.0,nan,2.0,3.0,nan,3.0,5.0,nan,2.0,2.0,nan,7.0,5.0,nan
Wet_BFL_Mag_10,15.0,0.45,1.0,0.9000000000000001,1.0,1.2,1.98,4.9,1.6,2.8,3.3,6.3,4.1,3.8,0.82,2.16,6.2,8.0,nan,0.36,11.0,2.3,4.07,0.924,7.0,18.0,5.850000000000001,1.6800000000000002,7.8,1.54,0.6680000000000001,0.901,1.3,0.68,1.4,nan
Wet_BFL_Mag_50,60.0,7.1,4.9,1.5,20.0,3.7,2.7,10.0,4.0,12.0,6.4,90.5,20.0,6.8,1.55,14.0,15.0,22.0,nan,0.62,28.0,8.5,17.5,3.2,21.0,73.5,13.0,3.4,93.0,3.2,1.6,1.6,2.1,6.25,2.2,nan
Wet_BFL_Dur,76.0,56.0,45.0,185.0,39.0,194.0,89.0,123.0,109.0,161.0,76.0,56.0,83.0,151.0,164.0,117.0,155.0,57.0,nan,202.0,71.0,92.0,68.0,118.0,120.0,112.0,54.0,159.0,51.0,58.0,175.0,108.0,234.0,36.0,23.0,nan
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,1486.999999999999,nan
Peak_Dur_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,1302.5,nan
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_10,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,nan
Peak_Dur_20,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,1.0,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_20,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,1.0,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan
Peak_20,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,nan
Peak_Dur_50,4.0,2.0,nan,nan,nan,3.0,nan,1.0,nan,4.0,1.0,8.0,3.0,nan,nan,5.0,1.0,1.0,nan,nan,3.0,nan,2.0,nan,8.0,10.0,1.0,nan,11.0,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_50,2.0,2.0,nan,nan,nan,2.0,nan,1.0,nan,4.0,1.0,5.0,3.0,nan,nan,5.0,1.0,1.0,nan,nan,3.0,nan,1.0,nan,5.0,7.0,1.0,nan,4.0,nan,nan,nan,nan,1.0,nan,nan
Peak_50,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,nan
Dur_2,22.0,4.0,3.0,nan,7.0,11.0,1.0,7.0,nan,12.0,1.0,26.0,10.0,3.0,nan,17.0,7.0,3.0,nan,nan,16.0,1.0,11.0,2.0,14.0,46.0,2.0,1.0,23.0,1.0,nan,nan,nan,5.0,4.0,nan
Fre_2,9.0,4.0,3.0,nan,3.0,7.0,1.0,2.0,nan,7.0,1.0,7.0,4.0,3.0,nan,7.0,5.0,3.0,nan,nan,6.0,1.0,3.0,2.0,6.0,9.0,1.0,1.0,4.0,1.0,nan,nan,nan,2.0,3.0,nan
High_2,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,nan
Dur_5,56.0,13.0,4.0,nan,13.0,36.0,4.0,21.0,1.0,42.0,4.0,50.0,28.0,8.0,nan,39.0,26.0,18.0,nan,nan,36.0,14.0,29.0,4.0,39.0,86.0,15.0,2.0,40.0,2.0,1.0,3.0,nan,6.0,8.0,nan
Fre_5,5.0,4.0,2.0,nan,3.0,7.0,2.0,4.0,1.0,10.0,2.0,3.0,6.0,5.0,nan,5.0,8.0,7.0,nan,nan,7.0,8.0,7.0,2.0,11.0,7.0,6.0,2.0,3.0,1.0,1.0,2.0,nan,2.0,2.0,nan
High_5,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,nan
Dur_10,85.0,26.0,9.0,1.0,27.0,76.0,8.0,49.0,12.0,85.0,17.0,77.0,59.0,24.0,3.0,79.0,81.0,50.0,nan,nan,103.0,34.0,60.0,11.0,86.0,132.0,33.0,10.0,56.0,6.0,3.0,7.0,1.0,10.0,16.0,nan
Fre_10,8.0,5.0,3.0,1.0,2.0,6.0,4.0,5.0,7.0,5.0,3.0,4.0,6.0,6.0,3.0,3.0,12.0,6.0,nan,nan,9.0,4.0,5.0,3.0,8.0,6.0,6.0,6.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,nan
High_10,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,nan
Dur_20,130.0,52.0,25.0,6.0,49.0,132.0,21.0,108.0,43.0,154.0,55.0,126.0,100.0,77.0,10.0,117.0,178.0,105.0,3.0,4.0,150.0,78.0,129.0,34.0,160.0,182.0,112.0,28.0,102.0,18.0,17.0,14.0,5.0,21.0,49.0,nan
Fre_20,6.0,4.0,5.0,5.0,3.0,3.0,7.0,7.0,6.0,6.0,8.0,5.0,2.0,4.0,4.0,6.0,4.0,4.0,3.0,3.0,5.0,8.0,4.0,7.0,8.0,5.0,4.0,10.0,8.0,4.0,5.0,6.0,3.0,3.0,3.0,nan
High_20,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,nan
